id,Date
1,1/22/2020
2,1/23/2020
3,1/24/2020
4,1/25/2020
5,1/26/2020
6,1/27/2020
7,1/28/2020
8,1/29/2020
9,1/30/2020
10,1/31/2020
11,2/1/2020
12,2/2/2020
13,2/3/2020
14,2/4/2020
15,2/5/2020
16,2/6/2020
17,2/7/2020
18,2/8/2020
19,2/9/2020
20,2/10/2020
21,2/11/2020
22,2/12/2020
23,2/13/2020
24,2/14/2020
25,2/15/2020
26,2/16/2020
27,2/17/2020
28,2/18/2020
29,2/19/2020
30,2/20/2020
31,2/21/2020
32,2/22/2020
33,2/23/2020
34,2/24/2020
35,2/25/2020
36,2/26/2020
37,2/27/2020
38,2/28/2020
39,2/29/2020
40,3/1/2020
41,3/2/2020
42,3/3/2020
43,3/4/2020
44,3/5/2020
45,3/6/2020
46,3/7/2020
47,3/8/2020
48,3/9/2020
49,3/10/2020
50,3/11/2020
51,3/12/2020
52,3/13/2020
53,3/14/2020
54,3/15/2020
55,3/16/2020
56,3/17/2020
57,3/18/2020
58,3/19/2020
59,3/20/2020
60,3/21/2020
61,3/22/2020
62,3/23/2020
63,3/24/2020
64,3/25/2020
65,3/26/2020
66,3/27/2020
67,3/28/2020
68,3/29/2020
69,3/30/2020
70,3/31/2020
71,4/1/2020
72,4/2/2020
73,4/3/2020
74,4/4/2020
75,4/5/2020
76,4/6/2020
77,4/7/2020
78,4/8/2020
79,4/9/2020
80,4/10/2020
81,4/11/2020
82,4/12/2020
83,4/13/2020
84,4/14/2020
85,4/15/2020
86,4/16/2020
87,4/17/2020
88,4/18/2020
89,4/19/2020
90,4/20/2020
91,4/21/2020
92,4/22/2020
93,4/23/2020
94,4/24/2020
95,4/25/2020
96,4/26/2020
97,4/27/2020
98,4/28/2020
99,4/29/2020
100,4/30/2020
101,5/1/2020
102,5/2/2020
103,5/3/2020
104,5/4/2020
105,5/5/2020
106,5/6/2020
107,5/7/2020
108,5/8/2020
109,5/9/2020
110,5/10/2020
111,5/11/2020
112,5/12/2020
113,5/13/2020
114,5/14/2020
115,5/15/2020
116,5/16/2020
117,5/17/2020
118,5/18/2020
119,5/19/2020
120,5/20/2020
121,5/21/2020
122,5/22/2020
123,5/23/2020
124,5/24/2020
125,5/25/2020
126,5/26/2020
127,5/27/2020
128,5/28/2020
129,5/29/2020
130,5/30/2020
131,5/31/2020
132,6/1/2020
133,6/2/2020
134,6/3/2020
135,6/4/2020
136,6/5/2020
137,6/6/2020
138,6/7/2020
139,6/8/2020
140,6/9/2020
141,6/10/2020
142,6/11/2020
143,6/12/2020
144,6/13/2020
145,6/14/2020
146,6/15/2020
147,6/16/2020
148,6/17/2020
149,6/18/2020
150,6/19/2020
151,6/20/2020
152,6/21/2020
153,6/22/2020
154,6/23/2020
155,6/24/2020
156,6/25/2020
157,6/26/2020
158,6/27/2020
159,6/28/2020
160,6/29/2020
161,6/30/2020
162,7/1/2020
163,7/2/2020
164,7/3/2020
165,7/4/2020
166,7/5/2020
167,7/6/2020
168,7/7/2020
169,7/8/2020
170,7/9/2020
171,7/10/2020
172,7/11/2020
173,7/12/2020
174,7/13/2020
175,7/14/2020
176,7/15/2020
177,7/16/2020
178,7/17/2020
179,7/18/2020
180,7/19/2020
181,7/20/2020
182,7/21/2020
183,7/22/2020
184,7/23/2020
